rank,team,rating,qb_name,qb_gsis_id,old_selector_qb_name,old_selector_rating,qb_policy_effect
1,NE,7.2191272552888535,Drake Maye,00-0039851,Drake Maye,7.125045843148406,0.0
2,LAR,6.931807199946519,Matthew Stafford,00-0026498,Matthew Stafford,6.837725787806072,0.0
3,SEA,6.674271577149405,Sam Darnold,00-0034869,Jalen Milroe,6.509411888159555,0.07077827684940274
4,BAL,5.45335775518663,Lamar Jackson,00-0034796,Lamar Jackson,5.359276343046183,0.0
5,JAX,5.391619352756223,Trevor Lawrence,00-0036971,Trevor Lawrence,5.297537940615776,0.0
6,BUF,4.708008698998462,Josh Allen,00-0034857,Josh Allen,4.613927286858015,0.0
7,SF,4.545634195986814,Brock Purdy,00-0037834,Brock Purdy,4.451552783846367,0.0
8,DEN,3.738019299644442,Bo Nix,00-0039732,Bo Nix,3.643937887503995,0.0
9,HOU,3.4499743822686284,C.J. Stroud,00-0039163,C.J. Stroud,3.355892970128181,0.0
10,PHI,3.4165261615995703,Jalen Hurts,00-0036389,Jalen Hurts,3.322444749459123,0.0
11,PIT,3.3029739982028516,Aaron Rodgers,00-0023459,Aaron Rodgers,3.2088925860624045,0.0
12,LAC,1.7572063031797,Justin Herbert,00-0036355,Justin Herbert,1.6631248910392529,0.0
13,DET,1.6568940022498353,Jared Goff,00-0033106,Jared Goff,1.5628125901093881,0.0
14,CHI,1.4134941949183712,Caleb Williams,00-0039918,Caleb Williams,1.319412782777924,0.0
15,GB,1.3865880567683604,Jordan Love,00-0036264,Jordan Love,1.2925066446279132,0.0
16,MIN,0.5956684136491717,Kyler Murray,00-0035228,Kyler Murray,0.5015870015087245,0.0
17,KC,0.2804265663530501,Patrick Mahomes,00-0033873,Patrick Mahomes,0.1863451542126029,0.0
18,ATL,-0.5653392688184979,Tua Tagovailoa,00-0036212,Tua Tagovailoa,-0.6594206809589451,0.0
19,CIN,-0.7029632339205776,Joe Burrow,00-0036442,Joe Burrow,-0.7970446460610248,0.0
20,NYG,-0.9396551652622875,Jaxson Dart,00-0040691,Jameis Winston,-0.6575451532401075,-0.37619142416260587
21,MIA,-1.0534889498282212,Malik Willis,00-0038128,Kyle McCord,-1.9717288716495531,0.8241585096808635
22,IND,-1.74099873744089,Daniel Jones,00-0035710,Riley Leonard,-1.888097492673836,0.053017343092520264
23,TB,-1.8027654955710943,Baker Mayfield,00-0034855,Baker Mayfield,-1.8968469077115415,0.0
24,NO,-2.4291544920746446,Tyler Shough,00-0040743,Tyler Shough,-2.523235904215092,0.0
25,DAL,-3.674124630674683,Dak Prescott,00-0033077,Dak Prescott,-3.7682060428151303,0.0
26,WAS,-4.326715119480454,Jayden Daniels,00-0039910,Jayden Daniels,-4.420796531620901,0.0
27,CAR,-4.469260156396345,Bryce Young,00-0039150,Haynes King,-2.8613945403398304,-1.7019470281969689
28,CLE,-5.047838941233856,Deshaun Watson,00-0033537,Deshaun Watson,-5.141920353374303,0.0
29,ARI,-6.546145227936741,Jacoby Brissett,00-0033119,Carson Beck,-6.0104521633496475,-0.6297744767275404
30,LV,-7.197959103806227,Kirk Cousins,00-0029604,Kirk Cousins,-7.292040515946674,0.0
31,TEN,-9.100633796446274,Cam Ward,00-0040676,Mitchell Trubisky,-8.105230574879748,-1.0894846337069737
32,NYJ,-12.324555095256038,Geno Smith,00-0030565,Cade Klubnik,-12.257474752073477,-0.16116175532300048
