rank,team,rating,qb_name,qb_gsis_id
1,NE,5.20024122657874,Drake Maye,00-0039851
2,LAR,4.506527155798153,Matthew Stafford,00-0026498
3,SEA,4.017110306058484,Sam Darnold,00-0034869
4,BUF,3.6069738565939673,Josh Allen,00-0034857
5,JAX,3.3536720635727306,Trevor Lawrence,00-0036971
6,HOU,2.991190550066065,C.J. Stroud,00-0039163
7,PHI,2.9845859611446173,Jalen Hurts,00-0036389
8,CHI,2.671490831398742,Caleb Williams,00-0039918
9,BAL,2.2960872317287766,Lamar Jackson,00-0034796
10,DEN,2.0021272566739157,Bo Nix,00-0039732
11,SF,1.9750719916063417,Brock Purdy,00-0037834
12,DET,1.648921582277751,Jared Goff,00-0033106
13,CIN,1.5583729102044543,Joe Burrow,00-0036442
14,LAC,1.355907108984809,Justin Herbert,00-0036355
15,MIN,0.9588752150705915,Kyler Murray,00-0035228
16,PIT,0.5753458831041485,Aaron Rodgers,00-0023459
17,GB,0.5125349828885106,Jordan Love,00-0036264
18,IND,0.2258426613898905,Daniel Jones,00-0035710
19,TB,0.07934162099758169,Baker Mayfield,00-0034855
20,KC,0.0303216283112846,Patrick Mahomes,00-0033873
21,ATL,-0.2901723523153521,Tua Tagovailoa,00-0036212
22,WAS,-1.3860361279929236,Jayden Daniels,00-0039910
23,DAL,-1.3868958687869366,Dak Prescott,00-0033077
24,NYG,-1.4895347860496173,Jaxson Dart,00-0040691
25,NO,-1.7863724874073057,Tyler Shough,00-0040743
26,CAR,-2.158132794194188,Bryce Young,00-0039150
27,MIA,-3.355557652886148,Malik Willis,00-0038128
28,ARI,-4.774939508742264,Jacoby Brissett,00-0033119
29,CLE,-5.2389074783773,Deshaun Watson,00-0033537
30,TEN,-5.890582465243995,Cam Ward,00-0040676
31,LV,-7.2242661196070515,Kirk Cousins,00-0029604
32,NYJ,-7.569144382846289,Geno Smith,00-0030565
