game_id,season,game_type,home_team,away_team,home_score,away_score
2025_01_DAL_PHI,2025,REG,PHI,DAL,24,20
2025_01_KC_LAC,2025,REG,LAC,KC,27,21
2025_01_TB_ATL,2025,REG,ATL,TB,20,23
2025_01_CIN_CLE,2025,REG,CLE,CIN,16,17
2025_01_MIA_IND,2025,REG,IND,MIA,33,8
2025_01_CAR_JAX,2025,REG,JAX,CAR,26,10
2025_01_LV_NE,2025,REG,NE,LV,13,20
2025_01_ARI_NO,2025,REG,NO,ARI,13,20
2025_01_PIT_NYJ,2025,REG,NYJ,PIT,32,34
2025_01_NYG_WAS,2025,REG,WAS,NYG,21,6
2025_01_TEN_DEN,2025,REG,DEN,TEN,20,12
2025_01_SF_SEA,2025,REG,SEA,SF,13,17
2025_01_DET_GB,2025,REG,GB,DET,27,13
2025_01_HOU_LA,2025,REG,LA,HOU,14,9
2025_01_BAL_BUF,2025,REG,BUF,BAL,41,40
2025_01_MIN_CHI,2025,REG,CHI,MIN,24,27
2025_02_WAS_GB,2025,REG,GB,WAS,27,18
2025_02_CLE_BAL,2025,REG,BAL,CLE,41,17
2025_02_JAX_CIN,2025,REG,CIN,JAX,31,27
2025_02_NYG_DAL,2025,REG,DAL,NYG,40,37
2025_02_CHI_DET,2025,REG,DET,CHI,52,21
2025_02_NE_MIA,2025,REG,MIA,NE,27,33
2025_02_SF_NO,2025,REG,NO,SF,21,26
2025_02_BUF_NYJ,2025,REG,NYJ,BUF,10,30
2025_02_SEA_PIT,2025,REG,PIT,SEA,17,31
2025_02_LA_TEN,2025,REG,TEN,LA,19,33
2025_02_CAR_ARI,2025,REG,ARI,CAR,27,22
2025_02_DEN_IND,2025,REG,IND,DEN,29,28
2025_02_PHI_KC,2025,REG,KC,PHI,17,20
2025_02_ATL_MIN,2025,REG,MIN,ATL,6,22
2025_02_TB_HOU,2025,REG,HOU,TB,19,20
2025_02_LAC_LV,2025,REG,LV,LAC,9,20
2025_03_MIA_BUF,2025,REG,BUF,MIA,31,21
2025_03_ATL_CAR,2025,REG,CAR,ATL,30,0
2025_03_GB_CLE,2025,REG,CLE,GB,13,10
2025_03_HOU_JAX,2025,REG,JAX,HOU,17,10
2025_03_CIN_MIN,2025,REG,MIN,CIN,48,10
2025_03_PIT_NE,2025,REG,NE,PIT,14,21
2025_03_LA_PHI,2025,REG,PHI,LA,33,26
