rank,team,rating,qb_name,qb_gsis_id
1,LAR,5.347409267952358,Matthew Stafford,00-0026498
2,SEA,4.946716399108524,Sam Darnold,00-0034869
3,BUF,4.161464937325206,Josh Allen,00-0034857
4,PHI,3.317357904680051,Jalen Hurts,00-0036389
5,HOU,3.3068547874943164,C.J. Stroud,00-0039163
6,NE,3.2711948884248017,Drake Maye,00-0039851
7,JAX,3.0755963712969674,Trevor Lawrence,00-0036971
8,BAL,2.2576392038047715,Lamar Jackson,00-0034796
9,CHI,2.1476349912529713,Caleb Williams,00-0039918
10,DEN,1.9392410659441168,Bo Nix,00-0039732
11,DET,1.7855659529272856,Jared Goff,00-0033106
12,CIN,1.67771292489428,Joe Burrow,00-0036442
13,SF,1.081354769564598,Brock Purdy,00-0037834
14,MIN,0.9074868905325104,Kyler Murray,00-0035228
15,GB,0.8550682006228101,Jordan Love,00-0036264
16,LAC,0.30356522966481236,Justin Herbert,00-0036355
17,IND,0.29732861638618147,Daniel Jones,00-0035710
18,KC,0.20194819596412117,Patrick Mahomes,00-0033873
19,TB,0.19586732126059303,Baker Mayfield,00-0034855
20,ATL,-0.26677309417659956,Tua Tagovailoa,00-0036212
21,PIT,-0.7589155090737023,Aaron Rodgers,00-0023459
22,WAS,-0.7854352837912444,Jayden Daniels,00-0039910
23,DAL,-1.2388049601541553,Dak Prescott,00-0033077
24,NYG,-1.4350487687857054,Jaxson Dart,00-0040691
25,CAR,-1.6404806775638292,Bryce Young,00-0039150
26,NO,-1.7645482915316961,Tyler Shough,00-0040743
27,MIA,-3.2384991257654576,Malik Willis,00-0038128
28,ARI,-4.648150713847798,Jacoby Brissett,00-0033119
29,CLE,-5.090729650097487,Deshaun Watson,00-0033537
30,TEN,-5.707640535013297,Cam Ward,00-0040676
31,LV,-7.028425326198359,Kirk Cousins,00-0029604
32,NYJ,-7.473555983101818,Geno Smith,00-0030565
