gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0028830,Isaako Aaitui,Isaako,Isaako,Aaitui,,,,AAI622937,,AaitIs00,6998,2535,14856,32004141-4962-2937-61ff-017b1804dec6,1987-01-25,DL,NT,,,76,307,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwncbbaztu3pc5unqgnj",UNLV,,0,2011,2014,WAS,DEV,,,2,DI,,,,,
00-0038389,Israel Abanikanda,Israel,Israel,Abanikanda,I.Abanikanda,Israel,,ABA159567,56008,AbanIs00,122999,10967,4429202,32004142-4115-9567-2e24-0eab29f6a4b9,2002-10-05,RB,RB,RB,RB,70,225,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mt7lgg9gbjcmb2wttxeg",Pittsburgh,Atlantic Coast Conference,25,2023,2026,DAL,DEV,ACT,Active,3,HB,A,2023,5,143,NYJ
00-0024644,Jon Abbate,Jon,Jon,Abbate,,,,ABB051371,,,,,,32004142-4205-1371-db95-1abc96313b69,1985-06-18,LB,LB,,,71,245,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gi1ncvxcsz8vyi5a4fxp",Wake Forest,,67,2007,2007,HOU,RES,,,0,,,,,,
ABB498348,Vince Abbott,Vince,Vincent,Abbott,,,,ABB498348,,abbotvin01,,,,32004142-4249-8348-e00f-5fbbe6a0c73c,1958-05-31,SPEC,K,,,71,207,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g1xvyvzrfbrtbeqjvqgf",California State-Fullerton; Washington,,0,1987,1988,LAC,ACT,,,2,,,,,,
00-0031021,Jared Abbrederis,Jared,Jared,Abbrederis,J.Abbrederis,Jared,,ABB650964,41405,AbbrJa00,8811,3115,16836,32004142-4265-0964-fc36-bb0ad76ff6e6,1990-12-17,WR,WR,WR,WR,73,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p5gqmcyci9youm2r6oeb",Wisconsin,,10,2014,2017,DET,CUT,CUT,,4,WR,,2014,5,176,GB
00-0032860,Mehdi Abdesmad,Mehdi,Mehdi,Abdesmad,M.Abdesmad,Mehdi,,ABD171953,43927,AbdeMe00,11322,5370,2576467,32004142-4417-1953-b577-2572c35b54c1,1991-09-28,DL,DE,DL,INTERIOR_LINE,78,284,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tzefn7gt3kbzufpa1jxb",Boston College,,68,2016,2016,TEN,RES,CUT,,0,DI,,,,,
00-0028564,Isa Abdul-Quddus,Isa,Isa,Abdul-Quddus,,Isa,,ABD688172,38044,AbduIs00,6722,1495,14466,32004142-4468-8172-c46a-6ab92c1db0ec,1989-08-03,DB,S,,,73,196,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbmpf9gwwtipcoyrmpr4",Fordham,Patriot League,24,2011,2016,MIA,RES,ACT,Active,6,S,,,,,
00-0032104,Ameer Abdullah,Ameer,Ameer,Abdullah,A.Abdullah,Ameer,,ABD647726,42397,AbduAm00,9487,3902,2576336,32004142-4464-7726-b649-e09413abd27c,1993-06-13,RB,RB,RB,RB,69,203,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k8teyeiqchljlm0h5te4",Nebraska,Big Ten Conference,20,2015,2026,JAX,ACT,ACT,Active,12,HB,A,2015,2,54,DET
00-0023663,Hamza Abdullah,Hamza,Hamza,Abdullah,,,,ABD655601,30059,AbduHa20,2448,6814,8645,32004142-4465-5601-b9f3-0ea6cfefd92f,1983-08-20,DB,DB,,,74,216,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jucikqcrbovbzuqeee1f",Washington State,,23,2005,2011,ARI,ACT,,,7,S,,2005,7,231,TB
00-0025940,Husain Abdullah,Husain,Husain,Abdullah,,Husain,,ABD660476,33465,AbduHu99,4652,800,11910,32004142-4466-0476-f505-0cb007da0036,1985-07-27,DB,FS,,,72,204,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jemlffvblcblzmqrozm5",Washington State,Pacific Ten Conference,39,2008,2015,KC,ACT,ACT,Active,7,S,,,,,
00-0021957,Khalid Abdullah,Khalid,Khalid,Abdullah,,,,ABD666569,28172,AbduKh20,,,4594,32004142-4466-6569-23c6-e44e130c2d87,1979-03-06,LB,LB,,,74,227,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vaa42guq07hfx3ptuejr",Mars Hill,,53,2003,2004,CIN,RES,,,2,,,2003,5,136,CIN
00-0000007,Rabih Abdullah,Rabih,Rabih,Abdullah,,,,ABD675101,,AbduRa00,,,1703,32004142-4467-5101-8326-4b71f9f0a7b7,1975-04-27,RB,RB,,,72,235,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t5s9srq092solu73m9v5",Lehigh University,,27,1998,2004,NE,ACT,,,7,,,,,,
00-0000008,Rahim Abdullah,Rahim,Rahim,Abdullah,,,,ABD683351,24556,AbduRa20,,,3998258,32004142-4468-3351-1adf-75b6d3d47e03,1976-03-22,LB,OLB,,,77,233,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cybn2rgg19bvq5gnmqlz",Clemson,,53,1999,2000,CLE,ACT,,,2,,,1999,2,45,CLE
00-0038580,Yasir Abdullah,Yasir,Yasir,Abdullah,Y.Abdullah,Yasir,,ABD685761,56001,AbduYa00,77100,10960,4360807,32004142-4468-5761-697c-5797029c343f,2000-04-12,LB,LB,DL,EDGE,73,234,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ok0dts6vzdwn8owisv08",Louisville,Atlantic Coast Conference,22,2023,2026,ATL,ACT,ACT,Active,4,ED,A,2023,5,136,JAX
ABE498348,Walter Abercrombie,Walter,Walter,Abercrombie,,,,ABE498348,,AberWa00,,,,32004142-4549-8348-c243-a8da70dd7751,1959-09-26,RB,RB,,,72,207,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pydzhyktsi8fx5mxiybr",Baylor,,0,1982,1988,PHI,ACT,,,7,,,1982,1,12,PIT
00-0035098,Micah Abernathy,Micah,Micah,Abernathy,M.Abernathy,Micah,,ABE643008,48206,AberMi00,51344,8187,3915373,32004142-4564-3008-2068-183a4c673624,1997-02-10,DB,DB,DB,HIGH_SAFETY,72,196,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vp6ezokvuuzydfr3v8ae",Tennessee,Southeastern Conference,29,2022,2024,ATL,RES,RES,R/Injured,2,S,A,,,,
00-0023322,Rob Abiamiri,Rob,Robert,Abiamiri,,,,ABI059326,,,,,,32004142-4905-9326-1b9f-3256c2cb8a64,1982-12-21,TE,TE,,,74,240,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icthexwchfliydis3l6u",Maryland,,43,2006,2006,BAL,DEV,,,1,,,,,,
00-0025444,Victor Abiamiri,Victor,Victor,Abiamiri,,,,ABI069076,32250,AbiaVi99,3673,,10501,32004142-4906-9076-6fc8-4fbecd017975,1986-01-14,DL,DE,,,76,267,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ngsgxzz45uknhixpfbq7",Notre Dame,,95,2007,2011,PHI,RES,,,5,,,2007,2,57,PHI
00-0022830,Derek Abney,Derek,Derek,Abney,,,,ABN177981,29197,,,,,32004142-4e17-7981-d1fd-9d3f3217b29a,1980-12-19,WR,WR,,,69,180,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rmxcmhiehkgevchfvxy1",Kentucky,,12,2004,2004,BAL,RES,,,0,,,,,,
00-0041445,Keith Abney II,Keith,Keith,Abney,,,,ABN189231,,AbneKe00,171875,13301,5093004,32004142-4e18-9231-5b2b-49b7e6c5bb49,2005-01-11,DB,CB,,,69,187,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pnryzkihoi17eq91ibag",Arizona State,,6,2026,2026,DET,ACT,,,0,CB,I,2026,5,157,DET
00-0030083,Oday Aboushi,Oday,Oday,Aboushi,O.Aboushi,Oday,,ABO652601,40089,AbouOd00,7923,936,15972,32004142-4f65-2601-6e79-9f8aa00e5115,1991-06-05,OL,G,,,77,315,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qayiwzp2hlziik6pueim",Virginia,Atlantic Coast Conference,76,2013,2022,LA,ACT,U01,R/UFA,10,G,A,2013,5,141,NYJ
