team,source_kind,status,formal_report_players,offense_availability,defense_availability,full_strength_centered_rating,current_scenario_centered_rating,model_output_delta
ARI,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
ATL,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
BAL,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
BUF,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
CAR,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
CHI,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
CIN,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
CLE,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
DAL,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
DEN,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
DET,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
GB,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
HOU,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
IND,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
JAX,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
KC,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
LAC,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
LAR,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
LV,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
MIA,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
MIN,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
NE,formal_injury_report,FORMAL_REPORT_CURRENT_SCENARIO,3,-0.2952944959300892,-0.0,4.816738602230146,4.636896949071172,-0.1798416531589737
NO,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
NYG,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
NYJ,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
PHI,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
PIT,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
SEA,formal_injury_report,FORMAL_REPORT_CURRENT_SCENARIO,8,-0.09927536231884056,-0.28047579983593107,4.0622965647768865,3.8696099801908446,-0.19268658458604193
SF,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
TB,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
TEN,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
WAS,no_formal_report,UNKNOWN_NO_FORMAL_REPORT,0,,,,,
