team,gsis_id,player,availability_probability,offense_snap_share_low,offense_snap_share_base,offense_snap_share_high,defense_snap_share_low,defense_snap_share_base,defense_snap_share_high,source_as_of,source_note,role_note
NE,00-0036981,Christian Barmore,1.00,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Full Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
NE,00-0037413,Ben Brown,0.70,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Did Not Participate In Practice; game=not listed; source=https://www.nfl.com/injuries/,
NE,00-0040734,TreVeyon Henderson,0.70,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Did Not Participate In Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0036363,Josh Jones,0.90,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Limited Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0038765,Ty Okada,0.70,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Did Not Participate In Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0038797,Emanuel Wilson,1.00,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Full Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0039020,Anthony Bradford,1.00,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Full Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0039793,AJ Barner,1.00,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Full Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0040648,Tory Horton,0.90,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Limited Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0040733,Nick Emmanwori,0.90,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Limited Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
SEA,00-0040873,Julian Neal,1.00,,,,,,,2026-09-08T02:24:19.275711+00:00,Official injury report: not listed; practice=Full Participation in Practice; game=not listed; source=https://www.nfl.com/injuries/,
