team,qb_name,raw_rank,raw_rating,starter_rank,starter_rating,starter_recency_rank,starter_recency_rating,starter_recency_roster_rank,starter_recency_roster_rating
ARI,Jacoby Brissett,29,-6.546145227936741,30,-4.80393818831277,29,-4.812360763473933,29,-4.783994507373848
ATL,Tua Tagovailoa,18,-0.5653392688184979,21,-0.9356264659727032,20,-0.6322854251112773,19,-0.5892168822288113
BAL,Lamar Jackson,4,5.45335775518663,3,4.326056814881909,4,3.6679610454450824,4,3.85290108683634
BUF,Josh Allen,6,4.708008698998462,6,2.9826992184895857,6,3.1883772046308394,5,3.324767064742943
CAR,Bryce Young,27,-4.469260156396345,27,-2.6343437578585878,25,-1.913620744652036,24,-1.8448772703486185
CHI,Caleb Williams,14,1.4134941949183712,14,1.4257024325326455,14,1.2225871765800775,15,1.3698832673394605
CIN,Joe Burrow,19,-0.7029632339205776,16,0.7792395627513997,16,0.7351500546548522,16,0.6411608285065995
CLE,Deshaun Watson,28,-5.047838941233856,25,-2.432520433303793,28,-4.543955408669802,28,-4.747636832102955
DAL,Dak Prescott,25,-3.674124630674683,28,-3.112494422160367,27,-3.346068472950776,27,-3.428509759199372
DEN,Bo Nix,8,3.738019299644442,11,2.013879366654294,10,2.2248191481746318,11,1.8575139155364866
DET,Jared Goff,13,1.6568940022498353,17,0.09937975725182469,15,1.0355899313956058,14,1.626296373292334
GB,Jordan Love,15,1.3865880567683604,18,0.08311043590408929,18,0.42288054315483237,18,0.27580755512471455
HOU,C.J. Stroud,9,3.4499743822686284,8,2.7025067347445315,8,2.4440176258749915,9,2.3976512272708703
IND,Daniel Jones,22,-1.74099873744089,23,-1.7511833777821124,23,-1.267678233051143,23,-1.1758255647862796
JAX,Trevor Lawrence,5,5.391619352756223,5,3.2865379136057697,5,3.2061643435748692,6,3.2467577783279893
KC,Patrick Mahomes,17,0.2804265663530501,15,1.1737949729493522,17,0.6105525867077546,17,0.5040062744703135
LAC,Justin Herbert,12,1.7572063031797,12,1.986527375683778,9,2.401731053440571,8,2.4439768885946904
LAR,Matthew Stafford,2,6.931807199946519,1,4.663307822604608,2,4.514203956348524,2,4.547288218282063
LV,Kirk Cousins,30,-7.197959103806227,29,-4.787673270354205,30,-4.889871968009885,30,-5.224021451940189
MIA,Malik Willis,21,-1.0534889498282212,22,-1.1363514632940053,22,-0.9947556400830706,21,-0.7621965029312321
MIN,Kyler Murray,16,0.5956684136491717,13,1.4397867638250261,11,1.911577298005696,10,1.9785977345750325
NE,Drake Maye,1,7.2191272552888535,2,4.4734134710555935,1,4.860654112269742,1,4.816738602230146
NO,Tyler Shough,24,-2.4291544920746446,24,-2.200699245546261,24,-1.9055896194167161,25,-1.9077356970366424
NYG,Jaxson Dart,20,-0.9396551652622875,19,-0.5324716810220735,21,-0.8258569781842056,22,-0.8871856522905688
NYJ,Geno Smith,32,-12.324555095256038,32,-9.860720543073953,32,-8.901247750289883,32,-8.931580414784833
PHI,Jalen Hurts,10,3.4165261615995703,9,2.4486596647663816,7,2.6917426317531863,7,2.6635790261692165
PIT,Aaron Rodgers,11,3.3029739982028516,4,3.626664502522985,13,1.7216892853680719,12,1.7896258881540064
SEA,Sam Darnold,3,6.674271577149405,7,2.9569989356704838,3,4.089349630937733,3,4.0622965647768865
SF,Brock Purdy,7,4.545634195986814,10,2.424308812322934,12,1.8553016358436736,13,1.769887925809968
TB,Baker Mayfield,23,-1.8027654955710943,20,-0.5811967982500192,19,-0.5119481501290153,20,-0.6105710103136062
TEN,Cam Ward,31,-9.100633796446274,31,-5.593943521746297,31,-5.336651240941578,31,-5.337048214884106
WAS,Jayden Daniels,26,-4.326715119480454,26,-2.529411389540229,26,-2.9224588691977402,26,-2.938336459818771
