team,reference4_rank,reference4_rating,active4_rank,active4_rating,active4_clean_rank,active4_clean_rating,active8_clean_rank,active8_clean_rating,active4_compact_rank,active4_compact_rating,active4_exposure_rank,active4_exposure_rating,active4_symmetric_rank,active4_symmetric_rating
ARI,29,-4.812360763473933,29,-5.758108680405442,28,-4.764977236424187,28,-4.2866226466609305,28,-4.456782703043238,28,-4.7524816066795665,28,-4.7839739157680725
ATL,20,-0.6322854251112773,23,-2.130891886049781,21,-0.21133343335380061,21,-0.011166611704197749,20,-0.20229144220833462,21,-0.28976185772781093,21,-0.21621602336118428
BAL,4,3.6679610454450824,3,3.6678739906684825,9,2.327990964033873,7,2.5822692685140964,8,2.5634722093482623,9,2.325510143489069,9,2.2969718094439173
BUF,6,3.1883772046308394,8,3.0003109881983647,4,3.4926633397575415,3,4.117591361132455,3,4.171340123028216,4,3.598326435542475,4,3.4986547125733978
CAR,25,-1.913620744652036,27,-3.5553164051218573,26,-2.1866907906183712,26,-2.587078492024574,27,-3.05481863302127,26,-2.15977757275013,26,-2.184661696507888
CHI,14,1.2225871765800775,11,2.1681011247994775,8,2.6751520185118522,10,2.413922259206487,11,1.6415352853541094,8,2.648056542565044,8,2.699473947031379
CIN,16,0.7351500546548522,9,2.621900567132954,13,1.5601556185263945,15,1.1869179347496868,16,0.6923241571870022,13,1.5525812890797397,13,1.565316817583053
CLE,28,-4.543955408669802,28,-4.71579035871234,29,-5.2199814623032665,29,-5.348433628909817,29,-5.016988347287835,29,-5.240307067396401,29,-5.216345054529867
DAL,27,-3.346068472950776,22,-2.0908123249483026,22,-1.322887739276922,22,-1.1368689680537756,22,-0.8646929566518367,22,-1.3611597420899386,22,-1.3455673588578208
DEN,10,2.2248191481746318,5,3.3745717854227166,10,1.9689702286756159,11,2.3694561448731974,10,2.4469208524305657,11,1.986710269908798,10,1.9851682434643436
DET,15,1.0355899313956058,10,2.33875099902761,12,1.7081347948511336,9,2.4185904943726655,13,1.2642673672278306,12,1.6545990098662031,12,1.7009025627742744
GB,18,0.42288054315483237,15,1.2990833676821438,17,0.5006785799115647,13,1.5865440422978452,12,1.622204596222872,17,0.5342924229397852,17,0.481878869791899
HOU,8,2.4440176258749915,12,2.161558381695471,7,2.9249660780727424,8,2.5385286026223923,9,2.460275764128994,7,2.948008616864911,7,2.966626867797885
IND,23,-1.267678233051143,17,0.6527768120228075,18,0.22363789830306757,19,0.478397141424324,19,-0.18241708775501309,18,0.24253352126164884,18,0.20530594380336709
JAX,5,3.2061643435748692,7,3.0233781835708697,5,3.2622415435285035,5,2.951092640754851,5,3.3512025290657164,5,3.3366698668741464,5,3.2797040810664555
KC,17,0.6105525867077546,18,0.5602690598060747,20,-0.05625042714599715,17,0.5229913237041899,18,0.43648378539351995,20,0.026785577925920734,20,-0.054002211084679175
LAC,9,2.401731053440571,19,0.5251083971249386,14,1.3673688479631636,14,1.1879391295722996,15,0.8101766659958969,14,1.3536180781022438,14,1.3692740866578106
LAR,2,4.514203956348524,1,5.943050514728526,2,4.587738266403576,1,4.975856947154284,2,4.392805889192729,2,4.504418474269983,2,4.588352693703925
LV,30,-4.889871968009885,31,-6.847745399695356,31,-7.210594035063039,31,-7.332130838830281,30,-6.087655686381474,31,-7.208258765047887,31,-7.22594306667375
MIA,22,-0.9947556400830706,25,-2.468243793932942,27,-3.3098829625954522,27,-2.9621375992988703,25,-1.9532638510102487,27,-3.333021535916018,27,-3.328601696399403
MIN,11,1.911577298005696,14,1.4989201172857634,15,0.9503871992830426,16,0.5548190557130965,17,0.5640479412275994,15,0.9523563475392649,15,0.9568124204887027
NE,1,4.860654112269742,4,3.433458678151794,1,5.209628277457597,2,4.395293953416427,1,5.051571718169399,1,5.193781564665471,1,5.216732699499701
NO,24,-1.9055896194167161,24,-2.3088990871352166,25,-1.7453066811599882,24,-2.161576233359085,24,-1.6496187512176022,25,-1.778125695086132,25,-1.7523498024330735
NYG,21,-0.8258569781842056,21,-0.46424413865810266,24,-1.538057238668756,25,-2.255592863044882,23,-1.3304139530306998,24,-1.4903105390563667,24,-1.5395212644945104
NYJ,32,-8.901247750289883,32,-9.328226030000522,32,-7.484070953576008,32,-7.533080381021023,32,-7.806057368091267,32,-7.55092190599261,32,-7.500656708129256
PHI,7,2.6917426317531863,6,3.1900904612065375,6,2.964664287707606,6,2.719371974068025,7,2.624155026532634,6,2.9737098698997073,6,2.9736047840419673
PIT,13,1.7216892853680719,13,2.073499243394963,16,0.576817058389608,18,0.5053340700729194,14,0.9683788972835998,16,0.5654854520945918,16,0.5877589131441994
SEA,3,4.089349630937733,2,5.446385069962986,3,4.11165230130149,4,3.7318655191657086,4,4.167318684435628,3,4.0285713257213445,3,4.100880557767695
SF,12,1.8553016358436736,16,1.1264201204772917,11,1.9516353620820013,12,2.011326658130457,6,3.1253770771973564,10,1.9912976879139705,11,1.9342725562570564
TB,19,-0.5119481501290153,20,-0.028765627908910574,19,0.0035499988294276363,20,0.2658035930965781,21,-0.3832913256559465,19,0.06882366391923256,19,0.01257363923822652
TEN,31,-5.336651240941578,30,-5.899169030579657,30,-5.921243339672301,30,-6.270386890012958,31,-7.08218621094084,30,-5.926974874860335,30,-5.88444971716828
WAS,26,-2.9224588691977402,26,-2.5092950992112435,23,-1.3967563637317824,23,-1.6288369611214222,26,-2.283380253126694,23,-1.3950349978403978,23,-1.3879776907215984
